;player_name;team;games_played;minutes_played;minutes_per_game;total_points;points_per_game
61;Caris LeVert;CLE;74;2237,34;30,234324324324326;897;12,121621621621621
31;Bennedict Mathurin;IND;78;2222,38;28,492051282051282;1302;16,692307692307693
484;Terry Rozier;CHA;63;2220,9266666666667;35,25280423280423;1329;21,095238095238095
228;Jarrett Allen;CLE;68;2220,1116666666667;32,64870098039216;969;14,25
129;Dillon Brooks;MEM;73;2214,2633333333333;30,332374429223744;1047;14,342465753424657
310;Kevin Huerter;SAC;75;2202,7766666666666;29,370355555555555;1140;15,2
278;Jrue Holiday;MIL;67;2182,54;32,575223880597015;1290;19,253731343283583
21;Anfernee Simons;POR;62;2170,66;35,01064516129032;1306;21,06451612903226
15;Alperen Sengun;HOU;75;2170,6566666666668;28,94208888888889;1109;14,786666666666667
190;Ivica Zubac;LAC;76;2169,41;28,54486842105263;818;10,763157894736842
318;Killian Hayes;DET;76;2153,588333333333;28,336688596491225;786;10,342105263157896
491;Tim Hardaway Jr.;DAL;71;2152,233333333333;30,3131455399061;1019;14,352112676056338
108;De'Anthony Melton;PHI;77;2149,826666666667;27,919826839826843;780;10,12987012987013
447;Rudy Gobert;MIN;70;2148,483333333333;30,692619047619043;939;13,414285714285715
247;Jimmy Butler;MIA;64;2138,015;33,406484375;1466;22,90625
220;James Harden;PHI;58;2135,005;36,81043103448276;1216;20,96551724137931
217;Jamal Murray;DEN;65;2133,385;32,8213076923077;1298;19,96923076923077
254;John Collins;ATL;71;2129,6466666666665;29,995023474178403;931;13,112676056338028
453;Saddiq Bey;ATL;77;2128,695;27,645389610389614;1062;13,792207792207792
449;Russell Westbrook;LAC;73;2125,826666666667;29,120913242009134;1159;15,876712328767123
107;De'Andre Hunter;ATL;67;2125,63;31,72582089552239;1029;15,35820895522388
429;Quentin Grimes;NYK;71;2120,9066666666668;29,87192488262911;799;11,253521126760564
323;Kristaps Porzingis;WAS;65;2119,5116666666668;32,6078717948718;1505;23,153846153846153
163;Gary Trent Jr.;TOR;66;2117,9933333333333;32,09080808080808;1148;17,393939393939394
90;Damian Lillard;POR;58;2106,59;36,320517241379314;1866;32,172413793103445
28;Ayo Dosunmu;CHI;80;2097,616666666667;26,220208333333336;687;8,5875
83;Corey Kispert;WAS;74;2093,29;28,287702702702703;820;11,08108108108108
