;SEASON;PLAYER_ID;PLAYER_NAME;POSITION;HEIGHT_WO_SHOES;HEIGHT_W_SHOES;WEIGHT;WINGSPAN;STANDING_REACH;BODY_FAT_PCT;HAND_LENGTH;HAND_WIDTH;STANDING_VERTICAL_LEAP;MAX_VERTICAL_LEAP;LANE_AGILITY_TIME;MODIFIED_LANE_AGILITY_TIME;THREE_QUARTER_SPRINT
163;2020;1630222;Mason Jones;SG;1.92;1.97;93.98;2.01;2.6;8.9;0.22;0.22;0.61;0.79;10.6;2.49;3.33
164;2020;1630233;Nathan Knight;PF-C;2.03;2.08;106.59;2.18;2.78;8.2;0.23;0.24;0.58;0.8;11.56;2.96;3.31
165;2020;1630177;Theo Maledon;PG;1.93;1.96;85.0;2.05;2.55;2.8;0.22;0.25;-;-;-;-;-
166;2020;1630211;Karim Mane;PG-SG;1.96;1.98;88.9;2.11;2.59;3.73;0.22;0.25;0.79;0.91;11.52;2.64;3.04
167;2020;1630230;Naji Marshall;SF;1.97;2.01;105.91;2.15;2.6;8.7;0.23;0.27;0.72;0.89;11.77;2.9;3.37
168;2020;1630231;Kenyon Martin Jr.;SF-PF;1.98;2.01;96.71;2.01;2.59;5.9;0.22;0.22;0.8;0.98;11.93;2.58;3.16
169;2020;1630219;Skylar Mays;SG;1.9;1.93;92.53;1.98;2.51;7.4;0.2;0.25;0.74;0.95;10.65;2.4;3.3
170;2020;1630192;Zeke Nnaji;PF-C;2.06;2.1;111.95;2.18;2.68;5.9;0.23;0.27;0.84;0.97;10.94;2.72;3.2
171;2020;1629670;Jordan Nwora;SF-PF;1.97;2.01;101.15;2.09;2.64;11.68;0.22;0.23;0.74;0.89;11.29;2.66;3.43
172;2020;1629617;Reggie Perry;PF-C;2.04;2.06;113.22;2.14;2.71;8.4;0.23;0.28;0.76;0.85;11.26;2.57;3.25
173;2020;1629619;Myles Powell;PG-SG;1.84;1.87;88.0;2.01;2.51;15.8;0.2;0.23;-;-;-;-;-
174;2020;1630193;Immanuel Quickley;SG;1.88;1.9;84.28;2.04;2.51;8.2;0.2;0.22;0.75;0.9;11.21;2.46;3.17
175;2020;1630186;Jahmi'us Ramsey;SG;1.89;1.92;87.72;1.98;2.55;3.4;0.22;0.25;-;-;-;-;-
176;2020;1630194;Paul Reed Jr.;PF;2.04;2.06;99.43;2.18;2.78;6.83;0.23;0.22;0.67;0.95;12.29;2.67;3.45
177;2020;1630208;Nick Richards;C;2.1;2.12;109.59;2.19;2.79;8.5;0.23;0.23;0.76;0.86;11.42;2.92;3.25
178;2020;1630203;Grant Riller;PG-SG;1.84;1.85;80.92;1.96;2.45;5.4;0.2;0.22;0.83;1.0;11.17;2.45;3.07
179;2020;1630206;Jayden Scrubb;SG-SF;1.96;1.99;84.01;2.07;2.65;3.7;0.21;0.25;-;-;-;-;-
180;2020;1630188;Jalen Smith;PF-C;2.06;2.09;101.88;2.19;2.79;3.7;0.23;0.23;-;-;-;-;-
181;2020;1630199;Cassius Stanley;SG;1.96;1.99;91.44;2.01;2.53;5.8;0.21;0.23;0.88;1.12;11.4;2.43;3.09
182;2020;1630205;Lamar Stevens;SF-PF;1.97;2.0;103.42;2.06;2.57;6.8;0.22;0.25;0.89;1.04;10.35;2.54;3.2
183;2020;1630191;Isaiah Stewart;C;2.01;2.04;110.22;2.25;2.76;7.5;0.23;0.27;-;-;-;-;-
184;2020;1630179;Tyrell Terry;PG;1.87;1.9;77.11;1.87;2.44;7.6;0.19;0.21;0.76;0.86;10.78;2.59;3.28
185;2020;1629681;Killian Tillie;PF;2.05;2.08;100.52;2.03;2.69;12.43;0.21;0.23;0.7;0.81;11.6;2.62;3.4
186;2020;1630214;Xavier Tillman Sr.;PF-C;2.02;2.04;120.88;2.18;2.69;8.5;0.26;0.28;0.66;0.83;11.8;3.01;3.49
