,SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,VIDEO_AVAILABLE_FLAG
38,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100436,2021-12-17T00:00:00,LAL @ MIN,L,35.505,5,13,0.385,2,6,0.333,6,8,0.75,1,9,10,5,4,1,2,3,5,7,18,-11,42.5,1,0,41.0,1,26,26,26,43,55,55,50,32,44,30,13,14,26,17,13,14,33,15,23,4,55,53,11,54,42,47,1,7,48,1
39,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100420,2021-12-15T00:00:00,LAL @ DAL,W,42.96666666666667,9,19,0.474,4,9,0.444,2,3,0.667,0,3,3,5,2,1,0,0,1,4,24,-6,36.1,0,0,38.0,1,1,1,1,5,41,39,37,10,14,14,45,44,37,36,50,53,33,42,23,37,1,6,36,46,37,53,22,7,53,1
40,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100403,2021-12-12T00:00:00,LAL vs. ORL,W,37.18333333333333,12,20,0.6,3,7,0.429,3,4,0.75,1,10,11,10,6,0,3,0,2,3,30,14,61.2,1,1,60.0,1,1,1,1,28,26,34,12,16,32,17,36,37,26,17,8,9,6,4,40,2,1,23,47,28,5,14,1,1,11,1
41,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100389,2021-12-10T00:00:00,LAL @ OKC,W,34.68333333333333,13,20,0.65,4,6,0.667,3,4,0.75,0,5,5,6,2,3,2,0,2,3,33,19,61.0,0,0,58.0,1,1,1,1,44,13,34,6,10,44,2,36,37,26,36,42,45,21,42,4,4,1,23,47,17,2,15,22,7,15,1
42,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100380,2021-12-09T00:00:00,LAL @ MEM,L,37.4,7,15,0.467,1,6,0.167,5,5,1.0,0,10,10,11,5,4,2,0,1,5,20,2,61.5,1,1,54.0,1,26,26,26,25,50,53,38,46,44,47,17,29,1,36,8,14,3,9,1,4,1,6,28,51,23,13,1,1,23,1
43,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100365,2021-12-07T00:00:00,LAL vs. BOS,W,36.266666666666666,13,19,0.684,2,5,0.4,2,2,1.0,2,2,4,5,3,0,0,0,2,3,30,18,39.3,0,0,41.0,1,1,1,1,36,13,39,3,32,49,24,45,49,1,8,53,51,33,27,40,37,1,23,47,28,3,50,22,7,48,1
44,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100341,2021-12-03T00:00:00,LAL vs. LAC,L,36.25,9,23,0.391,2,8,0.25,3,5,0.6,3,8,11,6,3,2,0,1,2,6,23,-5,48.2,1,0,46.0,1,26,26,26,38,41,19,48,32,23,40,36,29,44,4,16,9,21,27,10,37,26,23,19,47,34,38,1,7,40,1
45,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100304,2021-11-28T00:00:00,LAL vs. DET,W,37.4,12,20,0.6,4,9,0.444,5,8,0.625,0,5,5,9,2,2,1,0,1,6,33,14,59.5,0,0,57.0,1,1,1,1,25,26,34,12,10,14,14,17,14,43,36,42,45,9,42,10,20,1,6,19,17,5,19,22,7,20,1
46,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100291,2021-11-26T00:00:00,LAL vs. SAC,L,49.75,10,25,0.4,2,13,0.154,8,11,0.727,1,6,7,11,7,1,0,0,4,8,30,-7,50.9,1,0,52.0,1,26,26,26,1,36,13,47,32,2,49,4,4,32,17,34,31,3,1,23,37,1,46,4,28,39,32,1,7,29,1
47,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100268,2021-11-24T00:00:00,LAL @ IND,W,43.46666666666667,13,29,0.448,5,12,0.417,8,9,0.889,0,5,5,6,2,1,2,1,2,8,39,-3,61.0,0,0,61.0,1,1,1,1,4,13,2,43,5,4,23,4,9,19,36,42,45,21,42,23,4,26,23,4,4,31,15,22,7,10,1
48,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100249,2021-11-21T00:00:00,LAL @ DET,W,21.433333333333334,4,7,0.571,1,3,0.333,1,1,1.0,0,1,1,5,2,0,0,0,1,2,10,-15,16.7,0,0,17.0,1,1,1,1,56,56,56,21,46,56,30,52,54,1,36,56,56,33,42,40,37,1,6,56,56,45,56,22,7,56,1
49,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100232,2021-11-19T00:00:00,LAL @ BOS,L,32.06666666666667,10,16,0.625,3,7,0.429,0,1,0.0,1,5,6,2,3,2,0,0,3,3,23,-4,36.2,0,0,38.0,1,26,26,26,52,36,52,7,16,32,17,56,54,56,17,42,42,54,27,10,37,1,36,47,47,32,52,22,7,53,1
50,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100107,2021-11-02T00:00:00,LAL vs. HOU,W,36.266666666666666,13,21,0.619,2,4,0.5,2,2,1.0,0,4,4,10,4,2,0,0,3,5,30,8,51.8,1,0,50.0,1,1,1,1,36,13,30,8,32,52,10,45,49,1,36,49,51,6,15,10,37,1,36,28,28,15,31,1,7,33,1
51,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100093,2021-10-31T00:00:00,LAL vs. HOU,W,34.53666666666667,6,19,0.316,0,6,0.0,3,4,0.75,1,6,7,8,2,4,1,1,0,8,15,7,48.4,0,0,40.0,1,1,1,1,46,53,39,56,55,44,55,36,37,26,17,34,31,11,42,1,20,26,1,4,55,16,37,22,7,52,1
52,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100077,2021-10-29T00:00:00,LAL vs. CLE,W,37.95,10,22,0.455,1,10,0.1,5,5,1.0,1,2,3,8,7,3,1,0,1,3,26,9,46.6,0,0,46.0,1,1,1,1,22,36,26,41,46,9,54,17,29,1,17,53,53,11,1,4,20,1,6,47,38,11,41,22,7,40,1
53,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100040,2021-10-24T00:00:00,LAL vs. MEM,W,40.3,7,19,0.368,4,9,0.444,1,2,0.5,0,6,6,6,3,2,2,1,1,4,19,-1,44.2,0,0,43.0,1,1,1,1,9,50,39,52,10,14,14,52,49,49,36,34,42,21,27,10,4,26,6,36,52,27,45,22,7,44,1
54,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100025,2021-10-22T00:00:00,LAL vs. PHX,L,36.53333333333333,8,18,0.444,5,9,0.556,4,4,1.0,0,2,2,5,5,2,0,1,4,4,25,-6,35.9,0,0,41.0,1,26,26,26,33,47,48,45,5,14,7,26,37,1,36,53,55,33,9,10,37,26,46,36,43,37,54,22,7,48,1
55,2021-22,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0022100002,2021-10-19T00:00:00,LAL vs. GSW,L,36.748333333333335,13,23,0.565,5,11,0.455,3,6,0.5,1,10,11,5,4,1,1,0,5,8,34,-2,56.7,1,0,59.0,1,26,26,26,31,13,19,22,5,6,12,36,24,49,17,8,9,33,15,23,20,1,53,4,14,29,21,1,7,13,1
